paper_id,status,changed_fields,corrupted_occurrences,baseline_title,corrupted_title,baseline_published,corrupted_published,baseline_summary_chars,corrupted_summary_chars
10.21203/rs.3.rs-9882260/v1,modified,"title, summary, text_for_embedding",1,"Operationalizing Reliability Gaps in Large Language Models: A Semi-Systematic Evidence Map of Reasoning, Factuality, Evaluation, and Retrieval-Augmented Generation",Operationali,2026-06-02,2026-06-02,1949,1998.0
10.52060/juptik.v4i1.4318,unchanged,,1,Chatbot Hybrid Fatwa MUI Menggunakan Retrieval Augmented Generation dan Large Language Model,Chatbot Hybrid Fatwa MUI Menggunakan Retrieval Augmented Generation dan Large Language Model,2026-06-01,2026-06-01,1095,1095.0
10.54254/2753-8818/2026.dl34055,unchanged,,1,"Hallucination in Large Language Models and Retrieval-Augmented Generation: Mechanisms, Mitigation, and Evaluation","Hallucination in Large Language Models and Retrieval-Augmented Generation: Mechanisms, Mitigation, and Evaluation",2026-06-01,2026-06-01,1569,1569.0
10.22214/ijraset.2026.82233,modified,"published, age_days, text_for_embedding",1,Hybrid Graph Neural Network and Large Language Model Framework for Robust Knowledge Graph Question Answering via Retrieval-Augmented Generation,Hybrid Graph Neural Network and Large Language Model Framework for Robust Knowledge Graph Question Answering via Retrieval-Augmented Generation,2026-05-31,2016-08-08,1949,1949.0
10.21203/rs.3.rs-9770645/v1,unchanged,,1,Adapting Large Language Models for Low-Resource Regulated Domains: A Fine-Tuning and Retrieval-Augmented Generation Approach to Insurance Information Delivery in Kenya,Adapting Large Language Models for Low-Resource Regulated Domains: A Fine-Tuning and Retrieval-Augmented Generation Approach to Insurance Information Delivery in Kenya,2026-05-22,2026-05-22,2220,2220.0
10.1093/sleep/zsag091.0346,modified,"summary, text_for_embedding",1,0346 Retrieval Augmented Generation Improves Large Language Model Performance in Sleep Medicine,0346 Retrieval Augmented Generation Improves Large Language Model Performance in Sleep Medicine,2026-05-08,2026-05-08,2491,2540.0
10.55041/isjem07213,unchanged,,1,Speculative Retrieval-Augmented Generation for Cost-Efficient Large Language Model Inference,Speculative Retrieval-Augmented Generation for Cost-Efficient Large Language Model Inference,2026-05-06,2026-05-06,1571,1571.0
10.32473/flairs.39.1.141782,unchanged,,1,An Exploratory Study of Agentic Retrieval Augmented Generation for Mental Health Oriented Language Models,An Exploratory Study of Agentic Retrieval Augmented Generation for Mental Health Oriented Language Models,2026-05-06,2026-05-06,2371,2371.0
10.20944/preprints202604.0339.v1,modified,"summary, text_for_embedding",1,Retrieval-Augmented Large Language Model Agents for Automated Scientific Literature Review Generation,Retrieval-Augmented Large Language Model Agents for Automated Scientific Literature Review Generation,2026-04-06,2026-04-06,1687,0.0
10.70121/001c.158711,modified,"title, text_for_embedding",1,The Role of Retrieval-Augmented Generation in Improving Factual Accuracy for Medical Large Language Models,The Role of ,2026-03-15,2026-03-15,1112,1112.0
10.36227/techrxiv.177272838.89432844/v1,unchanged,,1,A Survey of (Deep RAG) Deep Retrieval Augmented Generation and Reasoning in Large Language Models,A Survey of (Deep RAG) Deep Retrieval Augmented Generation and Reasoning in Large Language Models,2026-03-05,2026-03-05,1309,1309.0
10.3390/app16052244,modified,"summary, text_for_embedding",1,Hybrid Retrieval-Augmented Generation: Semantic and Structural Integration for Large Language Model Reasoning,Hybrid Retrieval-Augmented Generation: Semantic and Structural Integration for Large Language Model Reasoning,2026-02-26,2026-02-26,1575,1624.0
10.35314/3y9hy151,unchanged,,1,Implementation of Retrieval-Augmented Generation Method on Large Language Model for Development of Campus Service and Information Chatbot,Implementation of Retrieval-Augmented Generation Method on Large Language Model for Development of Campus Service and Information Chatbot,2026-02-26,2026-02-26,1462,1462.0
10.20944/preprints202602.0996.v1,modified,"summary, published, age_days, text_for_embedding",1,Clinical Large Language Models with Multi-Stage Instruction Tuning and Advanced Retrieval-Augmented Generation,Clinical Large Language Models with Multi-Stage Instruction Tuning and Advanced Retrieval-Augmented Generation,2026-02-12,2016-08-08,1713,0.0
